ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
48474,EUR,1,German Final Manufacturing PMI,57.6,57.6,56.9,22/4/1 3:55,1
48475,EUR,1,Final Manufacturing PMI,57,57,56.5,22/4/1 4:00,0
48476,GBP,1,Final Manufacturing PMI,55.5,55.5,55.2,22/4/1 4:30,0
48477,EUR,2,CPI Flash Estimate y/y,6.70%,5.90%,7.50%,22/4/1 5:00,1
48478,USD,3,Average Hourly Earnings m/m,0.40%,0.10%,0.40%,22/4/1 8:30,1
48479,CAD,1,Manufacturing PMI,,56.6,58.9,22/4/1 9:30,1
48480,USD,1,Final Manufacturing PMI,58.5,58.5,58.8,22/4/1 9:45,-1
48481,USD,3,ISM Manufacturing PMI,58.9,58.6,57.1,22/4/1 10:00,1
48482,USD,1,Wards Total Vehicle Sales,13.4M,14.1M,13.3M,2022-4-1 All Day,1
48483,USD,1,President Biden Speaks,,,,22/4/1 10:45,1
48484,NZD,0,Daylight Saving Time Shift,,,,22/4/2 10:00,1
48485,AUD,0,Daylight Saving Time Shift,,,,22/4/2 12:00,1
48486,USD,1,FOMC Member Williams Speaks,,,,22/4/2 13:00,1
48487,JPY,1,Monetary Base y/y,8.00%,7.60%,7.90%,22/4/3 19:50,1
48488,CNY,0,Bank Holiday,,,,2022-4-3 All Day,1
48489,AUD,1,MI Inflation Gauge m/m,,0.50%,0.80%,22/4/3 21:00,1
48490,AUD,1,ANZ Job Advertisements m/m,,10.90%,0.40%,22/4/3 21:30,1
48491,EUR,1,German Trade Balance,11.3B,8.8B,11.5B,22/4/4 2:00,1
48492,EUR,2,Spanish Unemployment Change,15.3K,-11.4K,-2.9K,22/4/4 3:00,1
48493,EUR,1,Sentix Investor Confidence,-9.3,-7,-18,22/4/4 4:30,1
48494,GBP,2,BOE Gov Bailey Speaks,,,,22/4/4 5:05,1
48495,EUR,1,Eurogroup Meetings,,,,2022-4-4 All Day,0
48496,CAD,1,Building Permits m/m,6.90%,-8.20%,21.00%,22/4/4 8:30,0
48497,GBP,1,MPC Member Cunliffe Speaks,,,,22/4/4 10:00,1
48498,CAD,2,BOC Business Outlook Survey,,,,22/4/4 10:30,1
48499,AUD,1,AIG Construction Index,,53.4,56.5,22/4/4 18:30,1
48500,JPY,1,Average Cash Earnings y/y,0.60%,1.10%,1.20%,22/4/4 19:30,-1
48501,CNY,0,Bank Holiday,,,,2022-4-4 All Day,1
48502,JPY,1,10-y Bond Auction,,0.18|3.2,0.20|3.6,22/4/4 23:35,1
48503,AUD,3,Cash Rate,0.10%,0.10%,0.10%,22/4/5 0:30,1
48504,EUR,1,French Industrial Production m/m,-0.40%,1.80%,-0.90%,22/4/5 2:45,1
48505,EUR,1,Spanish Services PMI,54.2,56.6,53.4,22/4/5 3:15,1
48506,EUR,1,Italian Services PMI,51.6,52.8,52.1,22/4/5 3:45,1
48507,EUR,1,French Final Services PMI,57.4,57.4,57.4,22/4/5 3:50,1
48508,EUR,1,German Final Services PMI,55,55,56.1,22/4/5 3:55,1
48509,EUR,1,Final Services PMI,54.8,54.8,55.6,22/4/5 4:00,0
48510,GBP,1,Final Services PMI,60.9,61,62.6,22/4/5 4:30,1
48511,EUR,1,ECOFIN Meetings,,,,2022-4-5 All Day,1
48512,CAD,1,Trade Balance,2.9B,3.1B,2.7B,22/4/5 8:30,1
48513,USD,1,Final Services PMI,58.9,58.9,58,22/4/5 9:45,1
48514,USD,3,ISM Services PMI,58.6,56.5,58.3,22/4/5 10:00,-1
48515,USD,2,FOMC Member Brainard Speaks,,,,22/4/5 10:05,1
48516,NZD,1,GDT Price Index,,-0.90%,-1.00%,22/4/5 10:45,1
48517,USD,1,FOMC Member Williams Speaks,,,,22/4/5 14:00,1
48518,NZD,1,ANZ Commodity Prices m/m,,3.90%,3.90%,22/4/5 21:08,0
48519,CNY,1,Caixin Services PMI,49.6,50.2,42,22/4/5 21:45,1
48520,EUR,1,German Factory Orders m/m,-0.20%,2.30%,-2.20%,22/4/6 2:00,1
48521,AUD,1,RBA Deputy Gov Bullock Speaks,,,,22/4/6 2:05,1
48522,GBP,1,Construction PMI,58,59.1,59.1,22/4/6 4:30,1
48523,EUR,1,PPI m/m,1.20%,5.10%,1.10%,22/4/6 5:00,1
48524,CAD,2,Ivey PMI,62.3,60.6,74.2,22/4/6 10:00,1
48525,USD,1,Crude Oil Inventories,-2.9M,-3.4M,2.4M,22/4/6 10:30,0
48526,USD,3,FOMC Meeting Minutes,,,,22/4/6 14:00,1
48527,AUD,1,AIG Services Index,,60,56.2,22/4/6 18:30,1
48528,AUD,1,Trade Balance,11.70B,11.79B,7.46B,22/4/6 21:30,1
48529,JPY,1,30-y Bond Auction,,0.89|3.1,0.99|3.0,22/4/6 23:35,-1
48530,JPY,1,Leading Indicators,100.90%,102.50%,100.90%,22/4/7 1:00,1
48531,CHF,1,Unemployment Rate,2.20%,2.30%,2.20%,22/4/7 1:45,1
48532,EUR,1,German Industrial Production m/m,0.10%,1.40%,0.20%,22/4/7 2:00,-1
48533,CHF,1,Foreign Currency Reserves,,938B,911B,22/4/7 3:00,1
48534,EUR,1,Spanish 10-y Bond Auction,,1.23|1.5,1.60|2.3,22/4/7 4:49,1
48535,EUR,1,Retail Sales m/m,0.60%,0.20%,0.30%,22/4/7 5:00,1
48536,EUR,1,French 10-y Bond Auction,,0.52|1.7,1.17|1.8,22/4/7 5:03,1
48537,EUR,1,ECB Monetary Policy Meeting Accounts,,,,22/4/7 7:30,-1
48538,GBP,1,MPC Member Pill Speaks,,,,22/4/7 8:15,1
48539,USD,2,Unemployment Claims,201K,171K,166K,22/4/7 8:30,1
48540,USD,2,FOMC Member Bullard Speaks,,,,22/4/7 9:00,-1
48541,USD,2,Treasury Sec Yellen Speaks,,,,22/4/7 10:30,1
48542,USD,1,Consumer Credit m/m,18.0B,8.9B,41.8B,22/4/7 15:00,1
48543,CAD,1,Annual Budget Release,,,,22/4/7 16:00,1
48544,JPY,1,Current Account,0.27T,0.18T,0.52T,22/4/7 19:50,1
48545,AUD,1,RBA Financial Stability Review,,,,22/4/7 21:30,1
48546,JPY,1,Consumer Confidence,36.9,35.3,32.8,22/4/8 1:00,1
48547,JPY,1,Economy Watchers Sentiment,45,37.7,47.8,22/4/8 2:00,1
48548,EUR,1,Italian Retail Sales m/m,0.50%,-0.60%,0.70%,22/4/8 4:00,1
48549,CAD,3,Employment Change,77.5K,336.6K,72.5K,22/4/8 8:30,1
48550,USD,1,Final Wholesale Inventories m/m,2.10%,2.10%,2.50%,22/4/8 10:00,1
48551,EUR,3,French Presidential Election,,,,2022-4-10 All Day,1
48552,JPY,2,BOJ Gov Kuroda Speaks,,,,22/4/10 20:30,1
48553,CNY,1,CPI y/y,1.30%,0.90%,1.50%,22/4/10 21:30,1
48554,JPY,1,Prelim Machine Tool Orders y/y,,31.60%,30.20%,22/4/11 1:59,1
48555,GBP,1,Construction Output m/m,0.50%,1.60%,-0.10%,22/4/11 2:00,1
48556,CNY,1,M2 Money Supply y/y,9.20%,9.20%,9.70%,22/4/11 4:10,1
48557,GBP,1,NIESR GDP Estimate,,1.00%,1.00%,22/4/11 6:00,1
48558,USD,1,FOMC Member Bowman Speaks,,,,22/4/11 9:30,1
48559,NZD,1,NZIER Business Confidence,,-28,-40,22/4/11 18:04,1
48560,NZD,1,Visitor Arrivals m/m,,-34.50%,29.80%,22/4/11 18:45,1
48561,GBP,1,BRC Retail Sales Monitor y/y,2.60%,2.70%,-0.40%,22/4/11 19:01,1
48562,JPY,1,Bank Lending y/y,0.50%,0.30%,0.50%,22/4/11 19:50,1
48563,AUD,1,NAB Business Confidence,,13,16,22/4/11 21:30,1
48564,EUR,1,German Final CPI m/m,2.50%,2.50%,2.50%,22/4/12 2:00,1
48565,EUR,1,French Trade Balance,-9.3B,-8.0B,-10.3B,22/4/12 2:45,0
48566,EUR,2,ZEW Economic Sentiment,-46.5,-38.7,-43,22/4/12 5:00,1
48567,GBP,1,10-y Bond Auction,,1.60|2.5,1.93|2.6,22/4/12 5:02,1
48568,USD,1,NFIB Small Business Index,95,95.7,93.2,22/4/12 6:00,1
48569,USD,3,CPI m/m,1.20%,0.80%,1.20%,22/4/12 8:30,1
48570,USD,1,IBD/TIPP Economic Optimism,43.2,41,45.5,22/4/12 10:00,1
48571,USD,2,FOMC Member Brainard Speaks,,,,22/4/12 12:10,1
48572,USD,2,10-y Bond Auction,,1.92|2.5,2.72|2.4,22/4/12 13:01,1
48573,USD,1,Federal Budget Balance,-191.5B,-216.6B,-192.7B,22/4/12 14:00,1
48574,NZD,1,FPI m/m,,-0.10%,0.70%,22/4/12 18:45,1
48575,JPY,1,Core Machinery Orders m/m,-1.50%,-2.00%,-9.80%,22/4/12 19:50,1
48576,AUD,1,Westpac Consumer Sentiment,,-4.20%,-0.90%,22/4/12 20:30,1
48577,NZD,3,Official Cash Rate,1.25%,1.00%,1.50%,22/4/12 22:00,1
48578,CNY,1,Trade Balance,140B,739B,301B,22/4/13 0:08,1
48579,CNY,1,USD-Denominated Trade Balance,22.0B,116.0B,47.4B,22/4/13 0:43,1
48580,GBP,3,CPI y/y,6.70%,6.20%,7.00%,22/4/13 2:00,1
48581,JPY,2,BOJ Gov Kuroda Speaks,,,,22/4/13 2:15,1
48582,EUR,1,Italian Industrial Production m/m,0.90%,-3.40%,4.00%,22/4/13 4:00,0
48583,GBP,1,HPI y/y,10.10%,10.20%,10.90%,22/4/13 4:30,1
48584,EUR,1,German 10-y Bond Auction,,0.38|1.3,0.83|1.3,22/4/13 5:38,-1
48585,USD,3,PPI m/m,1.10%,0.80%,1.40%,22/4/13 8:30,0
48586,CAD,3,BOC Monetary Policy Report,,,,22/4/13 10:00,1
48587,USD,1,Crude Oil Inventories,1.1M,2.4M,9.4M,22/4/13 10:30,1
48588,CAD,3,BOC Press Conference,,,,22/4/13 11:00,1
48589,USD,2,30-y Bond Auction,,2.38|2.5,2.82|2.3,22/4/13 13:01,1
48590,NZD,1,BusinessNZ Manufacturing Index,,53.6,53.8,22/4/13 18:30,1
48591,GBP,1,RICS House Price Balance,75%,78%,74%,22/4/13 19:01,1
48592,AUD,1,MI Inflation Expectations,,4.90%,5.20%,22/4/13 21:03,1
48593,AUD,3,Employment Change,30.0K,77.4K,17.9K,22/4/13 21:30,0
48594,CHF,1,PPI m/m,1.10%,0.40%,0.80%,22/4/14 2:30,1
48595,CNY,1,Foreign Direct Investment ytd/y,,37.90%,25.60%,22/4/14 3:02,1
48596,GBP,1,BOE Credit Conditions Survey,,,,22/4/14 4:30,1
48597,EUR,3,Main Refinancing Rate,0.00%,0.00%,0.00%,22/4/14 7:45,1
48598,CAD,1,Manufacturing Sales m/m,3.60%,0.60%,4.20%,22/4/14 8:30,1
48599,GBP,1,CB Leading Index m/m,,0.40%,0.00%,22/4/14 9:30,1
48600,USD,2,Prelim UoM Consumer Sentiment,59.1,59.4,65.7,22/4/14 10:00,1
48601,USD,1,Natural Gas Storage,15B,-33B,15B,22/4/14 10:30,-1
48602,USD,2,FOMC Member Mester Speaks,,,,22/4/14 15:50,1
48603,NZD,0,Bank Holiday,,,,2022-4-14 All Day,0
48604,AUD,0,Bank Holiday,,,,2022-4-14 All Day,1
48605,CHF,0,Bank Holiday,,,,2022-4-15 All Day,1
48606,EUR,1,French Final CPI m/m,1.40%,1.40%,1.40%,22/4/15 2:45,1
48607,GBP,0,Bank Holiday,,,,2022-4-15 All Day,1
48608,EUR,0,German Bank Holiday,,,,2022-4-15 All Day,1
48609,USD,2,Empire State Manufacturing Index,0.9,-11.8,24.6,22/4/15 8:30,1
48610,CAD,0,Bank Holiday,,,,2022-4-15 All Day,1
48611,USD,1,Capacity Utilization Rate,77.80%,77.60%,78.30%,22/4/15 9:15,1
48612,USD,1,TIC Long-Term Purchases,103.5B,58.8B,141.7B,22/4/15 16:00,1
48613,NZD,0,Bank Holiday,,,,2022-4-17 All Day,1
48614,AUD,0,Bank Holiday,,,,2022-4-17 All Day,1
48615,CNY,3,GDP q/y,4.20%,4.00%,4.80%,22/4/17 22:00,1
48616,CHF,0,Bank Holiday,,,,2022-4-18 All Day,1
48617,GBP,0,Bank Holiday,,,,2022-4-18 All Day,1
48618,EUR,0,French Bank Holiday,,,,2022-4-18 All Day,1
48619,EUR,0,German Bank Holiday,,,,2022-4-18 All Day,1
48620,EUR,0,Italian Bank Holiday,,,,2022-4-18 All Day,1
48621,USD,1,NAHB Housing Market Index,77,79,77,22/4/18 10:00,1
48622,All,1,IMF Meetings,,,,2022-4-18 Day 1,1
48623,NZD,3,RBNZ Gov Orr Speaks,,,,22/4/18 16:00,1
48624,NZD,1,BusinessNZ Services Index,,48.9,51.6,22/4/18 18:30,1
48625,AUD,2,Monetary Policy Meeting Minutes,,,,22/4/18 21:30,1
48626,JPY,1,Revised Industrial Production m/m,0.10%,0.10%,2.00%,22/4/19 0:30,1
48627,CAD,1,Housing Starts,249K,250K,246K,22/4/19 8:13,1
48628,CAD,1,Foreign Securities Purchases,15.23B,13.49B,7.44B,22/4/19 8:30,1
48629,All,1,IMF Meetings,,,,2022-4-19 Day 2,1
48630,AUD,1,CB Leading Index m/m,,-0.30%,0.60%,22/4/19 10:30,0
48631,NZD,1,GDT Price Index,,-1.00%,-3.60%,22/4/19 10:39,1
48632,CHF,2,SNB Chairman Jordan Speaks,,,,22/4/19 12:30,1
48633,JPY,1,Trade Balance,-0.58T,-1.07T,-0.90T,22/4/19 19:50,1
48634,AUD,1,MI Leading Index m/m,,0.40%,0.30%,22/4/19 20:30,1
48635,JPY,1,Tertiary Industry Activity m/m,0.30%,-0.20%,-1.30%,22/4/20 0:30,1
48636,EUR,1,German PPI m/m,2.70%,1.40%,4.90%,22/4/20 2:00,1
48637,EUR,1,Italian Trade Balance,-4.23B,-5.13B,-1.66B,22/4/20 4:00,1
48638,EUR,1,Industrial Production m/m,0.80%,-0.70%,0.70%,22/4/20 5:00,1
48639,CAD,3,CPI m/m,0.90%,1.00%,1.40%,22/4/20 8:30,1
48640,CAD,1,Core CPI m/m,,0.80%,1.00%,22/4/20 8:32,1
48641,USD,2,Existing Home Sales,5.78M,5.93M,5.77M,22/4/20 10:00,1
48642,All,1,IMF Meetings,,,,2022-4-20 Day 3,1
48643,USD,1,Crude Oil Inventories,3.0M,9.4M,-8.0M,22/4/20 10:30,1
48644,All,2,G20 Meetings,,,,2022-4-20 All Day,1
48645,All,1,G7 Meetings,,,,2022-4-20 All Day,1
48646,USD,1,Beige Book,,,,22/4/20 14:00,1
48647,NZD,3,CPI q/q,2.00%,1.40%,1.80%,22/4/20 18:45,0
48648,EUR,1,Spanish 10-y Bond Auction,,1.60|2.3,1.74|1.3,22/4/21 4:40,1
48649,EUR,1,Final CPI y/y,7.50%,7.50%,7.40%,22/4/21 5:00,1
48650,USD,2,Philly Fed Manufacturing Index,21.5,27.4,17.6,22/4/21 8:30,1
48651,GBP,1,MPC Member Mann Speaks,,,,22/4/21 9:00,1
48652,EUR,1,Consumer Confidence,-20,-19,-17,22/4/21 9:46,1
48653,USD,1,CB Leading Index m/m,0.30%,0.60%,0.30%,22/4/21 10:00,1
48654,All,1,IMF Meetings,,,,2022-4-21 Day 4,1
48655,USD,1,Natural Gas Storage,40B,15B,53B,22/4/21 10:30,1
48656,USD,2,Fed Chair Powell Speaks,,,,22/4/21 11:00,1
48657,GBP,3,BOE Gov Bailey Speaks,,,,22/4/21 12:30,0
48658,EUR,2,ECB President Lagarde Speaks,,,,22/4/21 13:00,1
48659,AUD,1,Flash Manufacturing PMI,,57.7,57.9,22/4/21 19:00,1
48660,GBP,1,GfK Consumer Confidence,-33,-31,-38,22/4/21 19:01,1
48661,JPY,1,National Core CPI y/y,0.80%,0.60%,0.80%,22/4/21 19:30,1
48662,JPY,1,Flash Manufacturing PMI,53.3,54.1,53.4,22/4/21 20:30,1
48663,GBP,2,Retail Sales m/m,-0.30%,-0.50%,-1.40%,22/4/22 2:00,-1
48664,EUR,2,French Flash Services PMI,56.4,57.4,58.8,22/4/22 3:15,1
48665,EUR,3,German Flash Manufacturing PMI,54.6,56.9,54.1,22/4/22 3:30,1
48666,EUR,1,Current Account,22.8B,21.6B,20.8B,22/4/22 4:00,1
48667,GBP,2,Flash Manufacturing PMI,53.9,55.2,55.3,22/4/22 4:30,1
48668,EUR,1,German Buba Monthly Report,,,,22/4/22 6:00,1
48669,CAD,2,Core Retail Sales m/m,0.40%,2.90%,2.10%,22/4/22 8:30,1
48670,EUR,2,ECB President Lagarde Speaks,,,,22/4/22 9:00,1
48671,USD,2,Flash Manufacturing PMI,58.1,58.8,59.7,22/4/22 9:45,1
48672,All,1,IMF Meetings,,,,2022-4-22 Day 5,1
48673,GBP,3,BOE Gov Bailey Speaks,,,,22/4/22 10:30,1
48674,All,1,IMF Meetings,,,,2022-4-23 Day 6,1
48675,EUR,3,French Presidential Election,,,,2022-4-24 All Day,1
48676,All,1,IMF Meetings,,,,2022-4-24 Day 7,1
48677,NZD,0,Bank Holiday,,,,2022-4-24 All Day,1
48678,AUD,0,Bank Holiday,,,,2022-4-24 All Day,1
48679,GBP,1,Rightmove HPI m/m,,1.70%,1.60%,22/4/24 19:01,1
48680,JPY,1,SPPI y/y,1.20%,1.10%,1.30%,22/4/24 19:50,0
48681,EUR,0,Italian Bank Holiday,,,,2022-4-25 All Day,1
48682,EUR,2,German ifo Business Climate,88.3,90.8,91.8,22/4/25 4:00,1
48683,GBP,1,CBI Industrial Order Expectations,24,26,14,22/4/25 6:00,1
48684,EUR,1,Belgian NBB Business Climate,0.2,0.4,2.4,22/4/25 8:58,1
48685,CAD,3,BOC Gov Macklem Speaks,,,,22/4/25 11:00,1
48686,JPY,1,Unemployment Rate,2.70%,2.70%,2.60%,22/4/25 19:30,1
48687,NZD,1,Credit Card Spending y/y,,1.10%,3.40%,22/4/25 23:00,1
48688,JPY,1,BOJ Core CPI y/y,1.10%,1.00%,1.10%,22/4/26 1:00,1
48689,CHF,1,Trade Balance,6.23B,5.88B,2.99B,22/4/26 2:00,1
48690,USD,2,Core Durable Goods Orders m/m,0.50%,-0.50%,1.10%,22/4/26 8:30,1
48691,CAD,1,Gov Council Member Lane Speaks,,,,22/4/26 8:55,1
48692,USD,1,HPI m/m,1.50%,1.60%,2.10%,22/4/26 9:00,1
48693,USD,1,Richmond Manufacturing Index,9,13,14,22/4/26 9:59,1
48694,USD,2,CB Consumer Confidence,108.5,107.6,107.3,22/4/26 10:00,1
48695,AUD,3,CPI q/q,1.70%,1.30%,2.10%,22/4/26 21:30,1
48696,EUR,1,German GfK Consumer Climate,-16.1,-15.7,-26.5,22/4/27 2:00,1
48697,CHF,1,Credit Suisse Economic Expectations,,-27.8,-51.6,22/4/27 4:00,1
48698,GBP,1,CBI Realized Sales,-6,9,-35,22/4/27 6:00,1
48699,USD,1,Goods Trade Balance,-105.0B,-106.3B,-125.3B,22/4/27 8:30,1
48700,CNY,1,CB Leading Index m/m,,0.50%,-0.10%,22/4/27 9:00,1
48701,USD,1,Pending Home Sales m/m,-1.00%,-4.00%,-1.20%,22/4/27 10:00,1
48702,USD,1,Crude Oil Inventories,0.1M,-8.0M,0.7M,22/4/27 10:30,1
48703,EUR,2,ECB President Lagarde Speaks,,,,22/4/27 12:00,1
48704,CAD,3,BOC Gov Macklem Speaks,,,,22/4/27 18:30,1
48705,NZD,1,Trade Balance,-648M,-691M,-392M,22/4/27 18:45,1
48706,JPY,1,Prelim Industrial Production m/m,0.50%,2.00%,0.30%,22/4/27 19:50,1
48707,NZD,1,ANZ Business Confidence,,-41.9,-42,22/4/27 21:00,1
48708,AUD,1,Import Prices q/q,7.10%,5.80%,5.10%,22/4/27 21:30,1
48709,JPY,3,BOJ Outlook Report,,,,22/4/27 23:11,1
48710,JPY,1,Housing Starts y/y,-0.50%,6.30%,6.00%,22/4/28 0:59,1
48711,EUR,1,German Prelim CPI m/m,0.50%,2.50%,0.80%,2022-4-28 All Day,-1
48712,JPY,2,BOJ Press Conference,,,,22/4/28 2:30,1
48713,EUR,1,Spanish Flash CPI y/y,9.10%,9.80%,8.40%,22/4/28 3:00,1
48714,EUR,1,ECB Economic Bulletin,,,,22/4/28 4:00,1
48715,USD,3,Advance GDP q/q,1.10%,6.90%,-1.40%,22/4/28 8:30,1
48716,USD,1,Natural Gas Storage,39B,53B,40B,22/4/28 10:30,1
48717,JPY,0,Bank Holiday,,,,2022-4-28 All Day,1
48718,AUD,1,PPI q/q,1.50%,1.30%,1.60%,22/4/28 21:30,0
48719,EUR,1,French Consumer Spending m/m,-0.30%,0.90%,-1.30%,22/4/29 1:30,0
48720,EUR,1,German Import Prices m/m,3.50%,1.30%,5.70%,22/4/29 2:00,0
48721,CHF,1,Retail Sales y/y,13.30%,12.50%,-6.60%,22/4/29 2:30,1
48722,EUR,1,French Prelim CPI m/m,0.20%,1.40%,0.40%,22/4/29 2:45,1
48723,CHF,1,KOF Economic Barometer,98.8,99.2,101.7,22/4/29 3:00,1
48724,CHF,2,SNB Chairman Jordan Speaks,,,,22/4/29 4:00,1
48725,EUR,2,CPI Flash Estimate y/y,7.50%,7.40%,7.50%,22/4/29 5:00,-1
48726,EUR,1,Italian 10-y Bond Auction,,2.14|1.3,2.78|1.3,22/4/29 5:10,1
48727,CAD,2,GDP m/m,0.80%,0.20%,1.10%,22/4/29 8:30,1
48728,USD,1,Chicago PMI,62.1,62.9,56.4,22/4/29 9:45,1
48729,USD,2,Revised UoM Consumer Sentiment,65.8,65.7,65.2,22/4/29 10:00,1
48730,CNY,1,Manufacturing PMI,48,49.5,47.4,22/4/29 21:30,1
48731,CNY,1,Caixin Manufacturing PMI,47,48.1,46,22/4/29 21:45,1
48732,AUD,1,AIG Manufacturing Index,,55.7,58.5,22/5/1 18:50,1
48733,CNY,0,Bank Holiday,,,,2022-5-1 All Day,1
48734,JPY,1,Final Manufacturing PMI,53.4,53.4,53.5,22/5/1 20:30,1
48735,AUD,1,MI Inflation Gauge m/m,,0.80%,-0.10%,22/5/1 21:07,1
48736,AUD,1,ANZ Job Advertisements m/m,,0.70%,-0.50%,22/5/1 21:30,1
48737,JPY,1,Consumer Confidence,34.9,32.8,33,22/5/2 0:59,0
48738,EUR,1,German Retail Sales m/m,0.20%,0.20%,-0.10%,22/5/2 2:00,1
48739,AUD,1,Commodity Prices y/y,,39.60%,39.90%,22/5/2 2:30,1
48740,CHF,1,SECO Consumer Climate,-15,-4,-27,22/5/2 3:00,-1
48741,GBP,0,Bank Holiday,,,,2022-5-2 All Day,1
48742,EUR,1,Spanish Manufacturing PMI,54,54.2,53.3,22/5/2 3:15,1
48743,CHF,1,Manufacturing PMI,60.5,64,62.5,22/5/2 3:30,1
48744,EUR,1,Italian Manufacturing PMI,55.1,55.8,54.5,22/5/2 3:45,1
48745,EUR,1,French Final Manufacturing PMI,55.4,55.4,55.7,22/5/2 3:50,1
48746,EUR,1,German Final Manufacturing PMI,54.1,54.1,54.6,22/5/2 3:55,1
48747,EUR,1,Final Manufacturing PMI,55.3,55.3,55.5,22/5/2 4:00,1
48748,CAD,1,Manufacturing PMI,,58.9,56.2,22/5/2 9:30,1
48749,USD,1,Final Manufacturing PMI,59.7,59.7,59.2,22/5/2 9:45,-1
48750,USD,3,ISM Manufacturing PMI,57.5,57.1,55.4,22/5/2 10:00,1
48751,NZD,1,Building Consents m/m,,12.20%,5.80%,22/5/2 18:45,1
48752,JPY,0,Bank Holiday,,,,2022-5-2 All Day,0
48753,CNY,0,Bank Holiday,,,,2022-5-2 All Day,1
48754,AUD,3,Cash Rate,0.25%,0.10%,0.35%,22/5/3 0:30,1
48755,AUD,3,RBA Gov Lowe Speaks,,,,22/5/3 2:30,1
48756,EUR,1,French Gov Budget Balance,,-37.6B,-38.3B,22/5/3 2:45,1
48757,EUR,1,German Unemployment Change,-15K,-18K,-13K,22/5/3 3:55,1
48758,GBP,1,Final Manufacturing PMI,55.3,55.3,55.8,22/5/3 4:30,1
48759,EUR,1,PPI m/m,4.90%,1.10%,5.30%,22/5/3 5:00,1
48760,EUR,1,ECOFIN Meetings,,,,2022-5-3 All Day,1
48761,EUR,1,Eurogroup Meetings,,,,2022-5-3 All Day,1
48762,EUR,2,ECB President Lagarde Speaks,,,,22/5/3 9:00,1
48763,USD,3,JOLTS Job Openings,11.19M,11.34M,11.55M,22/5/3 10:00,1
48764,USD,1,Wards Total Vehicle Sales,14.2M,13.3M,14.3M,2022-5-3 All Day,1
48765,NZD,1,GDT Price Index,,-3.60%,-8.50%,22/5/3 10:54,1
48766,CAD,1,Gov Council Member Rogers Speaks,,,,22/5/3 12:30,1
48767,NZD,2,RBNZ Financial Stability Report,,,,22/5/3 17:00,1
48768,AUD,1,AIG Construction Index,,56.5,55.9,22/5/3 18:30,1
48769,NZD,3,Employment Change q/q,0.10%,0.00%,0.10%,22/5/3 18:45,1
48770,NZD,3,RBNZ Gov Orr Speaks,,,,22/5/3 19:00,1
48771,GBP,1,BRC Shop Price Index y/y,,2.10%,2.70%,22/5/3 19:01,1
48772,JPY,0,Bank Holiday,,,,2022-5-3 All Day,1
48773,CNY,0,Bank Holiday,,,,2022-5-3 All Day,-1
48774,NZD,1,ANZ Commodity Prices m/m,,3.90%,-1.90%,22/5/3 21:00,1
48775,AUD,1,Retail Sales m/m,0.40%,1.80%,1.60%,22/5/3 21:30,1
48776,EUR,1,German Trade Balance,12.3B,11.1B,3.2B,22/5/4 2:00,1
48777,EUR,2,Spanish Unemployment Change,-75.0K,-2.9K,-86.3K,22/5/4 3:00,1
48778,EUR,1,Spanish Services PMI,56,53.4,57.1,22/5/4 3:15,1
48779,EUR,1,Italian Services PMI,54.6,52.1,55.7,22/5/4 3:45,1
48780,EUR,1,French Final Services PMI,58.8,58.8,58.9,22/5/4 3:50,1
48781,EUR,1,German Final Services PMI,57.9,57.9,57.6,22/5/4 3:55,1
48782,EUR,1,Final Services PMI,57.7,57.7,57.7,22/5/4 4:00,1
48783,GBP,1,M4 Money Supply m/m,0.80%,1.00%,0.10%,22/5/4 4:30,1
48784,GBP,1,Net Lending to Individuals m/m,6.2B,6.1B,8.3B,22/5/4 4:32,1
48785,EUR,1,Retail Sales m/m,-0.30%,0.40%,-0.40%,22/5/4 5:00,0
48786,EUR,1,German 10-y Bond Auction,,0.83|1.3,0.93|1.6,22/5/4 5:36,1
48787,USD,3,ADP Non-Farm Employment Change,382K,479K,247K,22/5/4 8:15,0
48788,CAD,1,Trade Balance,3.7B,3.1B,2.5B,22/5/4 8:30,1
48789,USD,1,Final Services PMI,54.7,54.7,55.6,22/5/4 9:45,-1
48790,USD,2,ISM Services PMI,58.5,58.3,57.1,22/5/4 10:00,0
48791,USD,1,Crude Oil Inventories,-0.7M,0.7M,1.3M,22/5/4 10:30,0
48792,USD,1,President Biden Speaks,,,,22/5/4 11:00,0
48793,USD,3,FOMC Statement,,,,22/5/4 14:00,0
48794,USD,3,FOMC Press Conference,,,,22/5/4 14:30,1
48795,JPY,0,Bank Holiday,,,,2022-5-4 All Day,1
48796,AUD,1,Building Approvals m/m,-11.70%,42.00%,-18.50%,22/5/4 21:30,-1
48797,CNY,1,Caixin Services PMI,40.1,42,36.2,22/5/4 21:45,1
48798,EUR,1,German Factory Orders m/m,-1.00%,-0.80%,-4.70%,22/5/5 2:00,1
48799,CHF,1,CPI m/m,0.30%,0.60%,0.40%,22/5/5 2:30,1
48800,EUR,1,French Industrial Production m/m,-0.20%,-1.20%,-0.50%,22/5/5 2:45,-1
48801,GBP,1,Final Services PMI,58.3,58.3,58.9,22/5/5 4:30,1
48802,EUR,1,French 10-y Bond Auction,,1.17|1.8,1.51|1.8,22/5/5 5:01,-1
48803,All,2,OPEC-JMMC Meetings,,,,2022-5-5 All Day,1
